User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
ronaldo,0000,Immortal 3,Initiator,1.42,7.6,22.5377,52.0
flare,0024,Immortal 3,Initiator,1.1403,6.2,25.5203,56.2
hexen,ash,Radiant,Flex,1.4304,5.3333,25.1392,48.3333
junior,isa,Immortal 1,Flex,1.1754,7.2,15.6838,43.4
Twinky Winky,000,Immortal 3,Duelist,1.5631,3.4,24.0266,46.4
Genji,slatt,Immortal 3,Controller,1.3515,8.0,38.7581,51.4
PinoyyJettt,NA4,Immortal 3,Flex,1.242,1.5,37.7551,78.5
Simetra,1738,Immortal 3,Controller,1.0322,5.8,28.6086,53.8
ichira,NA1,Immortal 2,Flex,1.372,5.2,15.8744,22.4
james,abcd,Immortal 1,Flex,1.2554,2.6,27.9377,51.8
Zoue,0608,Immortal 2,Controller,1.4352,8.0,15.4046,53.4
bennju,jisoo,Immortal 3,Flex,0.6001,6.6,22.9561,50.4
Rtay,qaq,Immortal 3,Flex,0.7759,4.2,34.5655,34.2
ripbenjii,0304,Radiant,Flex,1.4727,5.0,27.8946,46.8
MouseyTube,2101,Immortal 1,Initiator,0.6501,6.2,29.7253,55.0
koisu,yoko,Immortal 3,Controller,1.1577,5.2,19.867,54.2
Erik,5829,Immortal 2,Flex,0.8715,6.5,22.7669,52.0
Dyno,0001,Radiant,Duelist,1.4418,3.6,24.5122,45.8
Darth Vader,SVJ,Radiant,Flex,1.554,4.4,35.1552,48.0
tyti,000,Immortal 3,Sentinel,0.9142,2.2,30.3602,45.2
Rocker03,ttv,Immortal 3,Controller,0.9917,7.2,20.6686,58.8
wambly,2113,Gold 1,Duelist,0.5058,4.4,13.4891,13.4
uzi,kage,Immortal 3,Initiator,1.1575,7.8,19.432,64.6
1KingB,KING,Immortal 1,Flex,0.8817,2.8,13.3551,19.6
Buh Lah Kae,NA1,Immortal 3,Initiator,1.0664,7.8,14.1883,35.2
vent,5247,Immortal 3,Flex,1.1985,3.6,31.4266,59.4
Frostii,GAME,Immortal 2,Controller,0.7358,7.6,21.8663,62.4
hashtagsmilei,8264,Bronze 2,Sentinel,0.751,7.0,3.6667,7.0
Racoone,TTV,Radiant,Controller,0.9576,6.4,18.5735,46.6
CripplingHunger,food,Immortal 3,Flex,1.4747,8.6,22.361,57.0
twitch deanhpx,dean,Diamond 3,Flex,1.0365,6.0,6.9008,24.6
hehe,na2,Immortal 2,Initiator,1.0082,7.0,20.4192,52.8
Star,mwah,Radiant,Flex,0.595,3.2,24.8571,46.2
Hippity,1111,Immortal 3,Controller,0.8838,5.0,21.9235,25.4
Bianco,0001,Immortal 3,Controller,1.645,8.4,27.6976,54.0
