User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
SourLoseToWin,6285,Silver 1,Sentinel,1.6437,4.0,15.2035,33.8
Kim is mean,Adrn,Bronze 1,Initiator,0.5832,3.0,13.6782,33.4
alkcrom,5003,Iron 1,Duelist,0.8794,5.4,14.6391,23.4
Poncho,6266,Iron 3,Sentinel,0.4619,3.8,16.7069,61.2
SushiPanda4891,4891,Silver 1,Initiator,1.2882,4.0,18.2246,18.2
Leaf,8749,Silver 1,Controller,1.1483,3.2,23.5438,29.8
lime,his,Bronze 3,Duelist,0.5415,3.4,14.9585,17.8
Xeroa,0417,Silver 2,Flex,1.5109,1.8,25.3771,38.6
Bluesun111,9219,Iron 3,Initiator,0.9977,6.6,6.4876,42.4
MistakeSpaghetti,NA1,Bronze 3,Controller,0.5815,4.4,5.7019,21.4
DoodyHolePatrol,1687,Silver 1,Flex,0.573,4.4,9.0266,50.2
Chico623,NA1,Iron 3,Flex,1.0435,11.0,0.0,0.0
Ramen,312,Bronze 2,Initiator,1.2876,4.6,13.3827,18.6
Psychotictaco,8598,Bronze 2,Duelist,1.1442,1.6,18.0991,38.6
aceDrago,DRX,Bronze 3,Controller,1.1098,5.4,12.0747,30.0
TapaKeg,9305,Silver 1,Flex,0.5524,4.8,7.9399,32.2
plankton,7767,Silver 2,Controller,1.36,2.4,17.7312,25.6
Hoodie,7932,Iron 3,Duelist,1.3023,5.2,16.3621,33.0
Bonsaii,3329,Bronze 1,Duelist,0.8775,5.0,24.2934,35.2
Mufasa,katie,Iron 2,Controller,0.6186,2.0,8.0012,7.4
TheStringBean,5095,Silver 3,Controller,0.7636,6.8,18.9573,33.6
PoisonApollo,1517,Iron 3,Flex,0.5382,5.4,4.8819,8.6
SuperDarly,5602,Bronze 3,Flex,1.223,4.6,18.5986,16.2
pickuul,0000,Platinum 1,Initiator,0.8026,5.8,28.529,48.6
salami,456,Bronze 2,Flex,0.8072,3.0,19.396,35.8
Tahrif,1079,Iron 3,Duelist,1.0296,3.2,10.3547,29.2
InSaiyanZ,2694,Bronze 2,Flex,1.4018,8.2,9.4459,17.6
Master Vadge,aynus,Silver 3,Sentinel,1.5914,2.6,19.1086,40.2
zuuko,0005,Bronze 1,Controller,0.8792,4.8,13.3155,50.0
bayliebaby,5895,Silver 2,Initiator,0.7847,6.6,2.8123,15.8
Jay Powell,1515,Gold 1,Flex,1.5268,3.4,9.0563,34.8
