User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Norriś,NA1,Diamond 1,Duelist,1.113,7.4,17.1849,40.8
war,9590,Diamond 2,Duelist,1.4027,3.6,15.7271,32.0
Crazed,05050,Diamond 2,Duelist,0.7794,3.0,14.7267,31.6
Eric,Happy,Immortal 1,Initiator,1.1736,4.8,11.461,38.4
Kabali,6895,Platinum 1,Sentinel,1.0594,4.2,9.049,27.2
Jonatron726,2828,Diamond 1,Flex,0.935,6.0,18.8968,47.0
NEECS,3331,Gold 2,Flex,1.0795,4.8,10.0067,22.8
Jaehaerys Snow,NA1,Diamond 2,Initiator,0.5548,6.2,13.2847,47.8
russianwideswing,zoom,Immortal 1,Flex,0.2872,3.4,0.0,0.0
Slugger32827,4302,Gold 1,Duelist,0.9906,3.4,10.3333,17.2
Paralyze,NA1,Diamond 1,Initiator,0.9253,5.4,20.3772,71.4
Daniel Larson,2222,Diamond 1,Initiator,0.8425,7.6,27.745,50.2
zutto zutto,NA1,Platinum 3,Duelist,1.0283,3.4,21.9925,32.8
Tyfortune,006,Diamond 1,Flex,0.5862,8.0,0.0,0.0
DemonSNG,NA1,Platinum 1,Controller,1.1878,9.2,17.0152,38.0
robert,0000,Platinum 1,Duelist,0.7538,2.6,15.1743,24.4
Trendy,6763,Diamond 2,Duelist,1.2269,2.4,3.5897,7.0
syncly,urmom,Platinum 1,Initiator,1.2153,5.6,10.2871,28.4
Tuckobell,01100,Diamond 3,Flex,0.4706,3.0,27.2727,38.0
perkzzy,Kyoto,Diamond 1,Flex,0.9569,4.4,20.0462,45.4
Menj,ZERA,Immortal 2,Sentinel,1.0565,2.8,11.017,23.0
eddy,NAE,Silver 3,Duelist,0.9086,3.0,4.0,8.8
Ripp3r,7342,Platinum 2,Flex,1.1618,5.0,25.7385,36.6667
Poerska,Bulg,Immortal 2,Flex,NaN,NaN,NaN,NaN
Haze,1244,Diamond 3,Flex,1.4875,3.4,0.0,0.0
2End,zend,Platinum 2,Duelist,0.8428,5.4,12.947,45.0
biddy,6673,Platinum 1,Sentinel,1.2755,3.4,14.1942,21.8
ara ara,baby,Gold 3,Duelist,0.6571,3.0,19.5373,15.6
mike,322,Immortal 1,Sentinel,2.4179,2.8,16.9268,18.2
mook,416,Immortal 1,Flex,NaN,NaN,NaN,NaN
Jabrice,1960,Platinum 2,Initiator,0.6795,5.4,15.4392,48.6
AlexBottomFrags,11111,Bronze 2,Controller,0.8627,3.2,12.9788,31.0
new car smell,1000,Gold 3,Flex,1.2731,7.0,12.659,37.4
TransJett,KDA1,Bronze 2,Flex,0.8,0.0,11.1111,6.0
ayydra,sped,Diamond 3,Controller,0.8721,5.2,20.5927,57.8
Kasual,Shot,Diamond 1,Flex,1.2496,7.6,15.7561,57.4
CaptainCookez,2230,Immortal 1,Flex,2.2652,2.4,0.0,0.0
antonio1520211,33333,Diamond 1,Initiator,1.5444,2.6,24.7233,22.6
Mallyraws,Mally,Gold 3,Flex,0.9726,6.4,13.7433,46.2
take 2,time,Immortal 3,Duelist,1.134,2.4,7.8708,24.8
low,jon,Diamond 3,Duelist,1.2692,3.6,17.9702,31.0
Bonsgard,4155,Diamond 2,Flex,1.4,4.0,30.5556,31.0
AlphaZombie,TEO,Diamond 1,Flex,1.0376,5.2,8.8306,31.8
HelenKellerrr,Blind,Immortal 1,Sentinel,1.4585,4.6,25.9209,32.2
TraX,1426,Platinum 2,Flex,0.8779,3.0,6.9512,13.4
vorxy,3124,Gold 2,Sentinel,1.0818,6.8,26.4891,40.4
MM Medic,4993,Immortal 1,Sentinel,1.0982,4.6,23.8841,43.2
phelony,cvmm,Platinum 3,Duelist,1.1142,4.0,23.5986,38.8
kimchune,kpoop,Bronze 2,Flex,0.9959,6.4,7.6353,20.4
hickey,4715,Platinum 3,Duelist,0.6103,4.0,26.4888,32.6
gnaw,woo,Platinum 3,Duelist,1.1827,1.5,17.8979,39.0
ALEX TF UP,RATIO,Immortal 1,Initiator,1.0261,7.0,16.6792,43.4
ElBoof,6655,Diamond 3,Duelist,0.7704,2.4,14.1493,17.6
oogs,8673,Platinum 3,Duelist,1.0691,7.0,26.5033,47.5
RR GATEKEEPER,urass,Diamond 1,Flex,1.6818,3.5,31.25,53.5
Tik,5812,Immortal 1,Flex,0.9701,6.6,26.3772,54.4
Eldest,2209,Diamond 3,Flex,1.0412,1.8,13.6604,40.2
rice bulgogi,5079,Silver 1,Flex,0.8828,5.6,27.3415,46.0
Cykiatric43,4472,Platinum 3,Controller,0.6541,8.6,15.4103,45.2
Tick,2701,Diamond 1,Sentinel,1.6735,3.4,20.2876,60.2
Youll,5228,Diamond 1,Flex,0.4346,5.4,6.7437,21.2
Raia,Feng,Immortal 1,Duelist,1.3952,3.6,17.7324,31.8
WavySwaggy,2801,Gold 2,Duelist,1.3039,2.8,13.6483,22.2
DONNY,3950,Diamond 1,Flex,1.5,0.0,31.0345,18.0
Whiskey963,6261,Diamond 1,Duelist,1.2128,1.8,15.8638,20.0
UnkindBlastley,4128,Gold 3,Duelist,0.9393,3.8,11.5148,25.0
Aspekt,sucks,Silver 3,Duelist,1.8721,1.4,17.9033,17.4
dayhz,comfy,Diamond 3,Duelist,0.8107,3.2,17.2027,30.0
kch,8523,Immortal 1,Duelist,0.6196,5.0,18.4876,53.8
wiffgod,4653,Platinum 3,Initiator,1.5917,5.4,27.1839,37.0
FORTNITEGOD1337,EEE,Diamond 1,Duelist,0.9238,3.2,15.85,43.2
Riolu,NTR,Platinum 2,Duelist,0.9805,5.6,5.8915,29.6
Monte Sterdic,dic,Platinum 1,Initiator,1.018,6.8,23.3123,35.2
BotRamen,0133,Diamond 1,Duelist,0.9905,7.8,15.479,47.8
noe,pain,Diamond 2,Initiator,0.9607,4.4,6.6667,11.4
